| S01 | `EXP-20260518-001` | `COLLISION` | 碰撞/接触 | 追尾碰撞（跟车过近） | 同上 |
| S18 | `EXP-20260518-018` | `DRIVER_SLOW_REACTION` | 驾驶员反应不足 | 雨雾视距不足仍高速接近 | 同上 |
| S19 | `EXP-20260518-019` | `DRIVER_SLOW_REACTION` | 驾驶员反应不足 | 匝道汇流未预留时距 | 同上 |
| S20 | `EXP-20260518-020` | `AEB_DELAY_OR_MISS` | AEB延迟或未触发 | AEB 触发过晚 | 同上 |
| S21 | `EXP-20260518-021` | `AEB_DELAY_OR_MISS` | AEB延迟或未触发 | 静态目标未识别 | 同上 |
| S22 | `EXP-20260518-022` | `AEB_DELAY_OR_MISS` | AEB延迟或未触发 | FCW 报警后 AEB 未跟进 | 同上 |
| S23 | `EXP-20260518-023` | `AEB_DELAY_OR_MISS` | AEB延迟或未触发 | 低速行人场景漏检 | 同上 |
| S24 | `EXP-20260518-024` | `AEB_DELAY_OR_MISS` | AEB延迟或未触发 | 施工区域未减速 | 同上 |
| S25 | `EXP-20260518-025` | `AEB_DELAY_OR_MISS` | AEB延迟或未触发 | 相邻车道侵入未抑制 | 同上 |
| S26 | `EXP-20260518-026` | `TTC_LOW_RISK` | TTC过低风险 | 拥堵跟车时距 <1.2s | 同上 |
| S27 | `EXP-20260518-027` | `TTC_LOW_RISK` | TTC过低风险 | cut-in 后 TTC 骤降 | 同上 |
| S28 | `EXP-20260518-028` | `TTC_LOW_RISK` | TTC过低风险 | 下坡车速过快导致 TTC 不足 | 同上 |
| S29 | `EXP-20260518-029` | `TTC_LOW_RISK` | TTC过低风险 | 弯道出口前车减速 | 同上 |
| S30 | `EXP-20260518-030` | `TTC_LOW_RISK` | TTC过低风险 | 绿灯起步抢行导致 TTC 不足 | 同上 |
| S31 | `EXP-20260518-031` | `TTC_LOW_RISK` | TTC过低风险 | 大车遮挡后突然出现的慢车 | 同上 |
| S32 | `EXP-20260518-032` | `DRIVER_TAKEOVER_FAIL` | 驾驶员接管不足 | 系统请求接管后 5s 内未接管 | 同上 |
| S33 | `EXP-20260518-033` | `DRIVER_TAKEOVER_FAIL` | 驾驶员接管不足 | 双手脱离方向盘 | 同上 |
| S34 | `EXP-20260518-034` | `DRIVER_TAKEOVER_FAIL` | 驾驶员接管不足 | 接管后方向修正过量 | 同上 |
| S35 | `EXP-20260518-035` | `DRIVER_TAKEOVER_FAIL` | 驾驶员接管不足 | L3 降级时驾驶员未响应 | 同上 |
| S36 | `EXP-20260518-036` | `DRIVER_TAKEOVER_FAIL` | 驾驶员接管不足 | 拥堵跟车系统退出未制动 | 同上 |
| S37 | `EXP-20260518-037` | `DRIVER_TAKEOVER_FAIL` | 驾驶员接管不足 | 驾驶员误踩加速踏板 | 同上 |
| S38 | `EXP-20260518-038` | `ENVIRONMENT_DISTURB` | 环境因素干扰 | 团雾突发能见度骤降 | 同上 |
| S39 | `EXP-20260518-039` | `ENVIRONMENT_DISTURB` | 环境因素干扰 | 路面结冰侧滑 | 同上 |
| S40 | `EXP-20260518-040` | `ENVIRONMENT_DISTURB` | 环境因素干扰 | 强光逆光相机失效 | 同上 |
| S41 | `EXP-20260518-041` | `ENVIRONMENT_DISTURB` | 环境因素干扰 | 横风高架桥面偏移 | 同上 |
| S42 | `EXP-20260518-042` | `ENVIRONMENT_DISTURB` | 环境因素干扰 | 积水水滑 | 同上 |
| S43 | `EXP-20260518-043` | `ENVIRONMENT_DISTURB` | 环境因素干扰 | 夜间无照明行人横穿 | 同上 |
| S44 | `EXP-20260518-044` | `MULTI_FACTOR` | 多因素共同作用 | 人-车-路-环境多因素叠加 | 同上 |
| S45 | `EXP-20260518-045` | `MULTI_FACTOR` | 多因素共同作用 | 施工改道+感知降级+驾驶员分心 | 同上 |
| S46 | `EXP-20260518-046` | `MULTI_FACTOR` | 多因素共同作用 | 恶劣天气+跟车过近+AEB 保守策略 | 同上 |
| S47 | `EXP-20260518-047` | `MULTI_FACTOR` | 多因素共同作用 | 匝道+大车遮挡+前车急刹 | 同上 |
| S48 | `EXP-20260518-048` | `MULTI_FACTOR` | 多因素共同作用 | 夜间+眩光+非机动车占道 | 同上 |
| S49 | `EXP-20260518-049` | `MULTI_FACTOR` | 多因素共同作用 | 系统提示弱+环境复杂+接管犹豫 | 同上 |
| S50 | `EXP-20260518-050` | `MULTI_FACTOR` | 多因素共同作用 | 多车交互+信号延迟+制动不足 | 同上 |
